,Model,Test Acc (%),Macro F1,Macro Precision,Macro Recall,Macro AUC,Infer. (ms/img)
1,Custom CNN,92.78,0.9284,0.9337,0.9278,0.9938,3.55
2,MobileNetV2,86.81,0.869,0.8899,0.8681,0.9829,3.4
